Name,NetWorth,Country,Source,Rank,Age,Residence,Citizenship,Status,Children,Education,Self_made
Alexander Mamut,2.3,Russia,investments,1362,61,"Moscow, Russia",Russia,Widowed,5,"LLB, Moscow State University",TRUE
Daniel Mate,2.3,Spain,"mining, commodities",1362,57,"Kanton Schwyz, Switzerland",Spain,Married,2,"Bachelor of Arts/Science, Universidad Comercial de Deusto; Law Degree, Universidad Comercial de Deusto",TRUE
Clayton Mathile,2.3,United States,pet food,1362,80,"Brookville, Ohio",United States,Married,5,"Bachelor of Arts/Science, Ohio Northern University",TRUE
Aristotelis Mistakidis,2.3,Greece,"mining, commodities",1362,59,"Zug, Switzerland",Greece,Married,1,"Bachelor of Arts/Science, London School of Economics",TRUE
Fernando Roberto Moreira Salles,2.3,Brazil,"banking, minerals",1362,74,"Sao Paulo, Brazil",Brazil,Married,2,"Bachelor of Arts/Science, Fundacao Getulio Vargas",FALSE
Joao Moreira Salles,2.3,Brazil,"banking, minerals",1362,59,"Rio de Janeiro, Brazil",Brazil,Divorced,1,,FALSE
Walther Moreira Salles Junior,2.3,Brazil,"banking, minerals",1362,65,"Rio de Janeiro, Brazil",Brazil,Married,1,"Bachelor of Arts/Science, University of Southern California",FALSE
Eugene Murtagh,2.3,Ireland,building materials,1362,78,"Kingscourt, Ireland",Ireland,Widowed,5,,TRUE
Nihat Ozdemir,2.3,Turkey,diversified,1362,71,"Ankara, Turkey",Turkey,Widowed,2,,TRUE
Gretel Packer,2.3,Australia,casinos,1362,55,"Sydney, Australia",Australia,Divorced,3,,FALSE
Andrew Paradise,2.3,United States,★,1362,39,"San Francisco, California",United States,,,"Bachelor of Arts/Science, University of Massachusetts",TRUE
Karl-Johan Persson,2.3,Sweden,H&M,1362,46,"Stockholm, Sweden",Sweden,Married,2,"Bachelor of Arts/Science, London Business School",FALSE
Tom Persson,2.3,Sweden,H&M,1362,36,"Stockholm, Sweden",Sweden,Married,,,FALSE
Stewart Rahr,2.3,United States,drug distribution,1362,75,"New York, New York",United States,Divorced,2,"Bachelor of Arts/Science, New York University",FALSE
Krit Ratanarak,2.3,Thailand,"media, real estate",1362,75,"Bangkok, Thailand",Thailand,Divorced,1,,FALSE
Michael Saylor,2.3,United States,cryptocurrency,1362,56,"Vienna, Virginia",United States,Single,,"Bachelor of Arts/Science, Massachusetts Institute of Technology",TRUE
"Karl Scheufele, III. & family",2.3,Switzerland,jewelry,1362,82,"Geneva, Switzerland",Switzerland,Married,2,,TRUE
Stephan Schmidheiny,2.3,Switzerland,investments,1362,73,"Hurden, Switzerland",Switzerland,Married,2,"Doctorate, University of Zurich",FALSE
Vijay Shekhar Sharma,2.3,India,financial technology,1362,42,"Delhi, India",India,Married,1,"Bachelor of Science in Engineering, Delhi University",TRUE
Charlotte Soderstrom,2.3,Sweden,H&M,1362,44,"Stockholm, Sweden",Sweden,Married,3,,FALSE
Sun Huaiqing & family,2.3,China,cosmetics,1362,51,"Guangzhou, China",China,Married,,"EMBA, Guanghua School of Management",TRUE
